Name,Lvl,Classes,Ritual,School,CT,Range,V,S,M,MC,MD,Dur,C,desc,hl
,,,,,,,,,,,,,,,
Agra's Ambush,2,Bard|Cleric|Sorcerer|Warlock|Wizard,,Abjuration,,Touch,t,t,t,,roughly-ground glass,1 hour,,"You provide protection for yourself or one willing creature against unwanted men-tal intrusion. The trap will be triggered if a protected creature be affected by a spell or effect that would sense its emotions, read its thoughts, or put the charmed condition on it. The attacker must make a Wisdom saving throw. The attacker takes 3d10 psychic dam-age on a failed saving throw, or half as much damage on a successful one. The spell then ends.",
Alert Vigil,1,Bard|Cleric|Druid|Paladin|Ranger,,Enchantment,,Touch,t,t,,,,6 hours,,"You or one willing creature of your choice is kept wide awake and alert for the spell’s level, allowing them to stand guard without fear of falling asleep. The creature will not suffer any exhaustion due to missed sleep. In addition, the creature has advantage on Wisdom (Perception) checks made while on guard, and it can’t be affected by this spell again until it finishes a long rest.",
Allergy Field,0,Druid,,Conjuration,,60 feet,t,t,t,,a pinch of ragweed,1 minute,y,"You indicate a point within range. All creatures within 10 feet of that point must make a Constitution at advantage saving throw or be incapacitated for the next minute due to uncontrollable sneezing. At the be-ginning of its turn, a creature may make a Constitution saving throw, ending the effect on a success. A creature who is immune to being poisoned cannot be affected by this spell.",
Alter Instrument,0,Bard,,Transmutation,,Touch,t,t,,,,10 minutes,,"You may transform one musical instrument into another musical instrument with which you are familiar. The new shape must be at no more than 1 size smaller or larger than its original size. It remains in this shape for as long as you are touching it. If you put it down, it reverts to its normal shape.</p><p>The spell's duration increases to 1 hour when you reach 5th level and 3 hours when you reach 11th level.",
Amanuensis,0,Bard|Cleric|Warlock|Wizard,y,Transmutation,10 minutes,10 feet,t,t,,,,1 hour,c,"You choose a writing implement within range, such as a quill or pen, which jumps to life and produces a precise and perfect copy of any form of nonmagical text you can see onto a blank sheet of paper, a book with empty pages, or another similar material.",
Amulet,3,Cleric|Druid|Ranger|Warlock|Wizard,y,Abjuration,1 hour,Touch,t,t,t,y,any object worth at least 5 gp and a relic of the creature to be affected,1 month,,"You create a token that repels one specific creature that is feared by many. You must provide either the creature’s name or a de-scription of the creature (such as “the vam-pire Ebon Thuthane” or “the giant one-eyed boar that destroyed hamlet of Marswick”). When the person who wears the token con-fronts this creature in melee combat, it must make an Intelligence saving throw or have disadvantage on attack rolls against the wearer.",
Ancestral Blessing,2,Cleric|Druid|Paladin|Ranger|Warlock,y,Necromancy,1 minute,Self,t,t,t,,a dozen grains of cereal or grain and a thimbleful with wine,1 minute,,"You call upon your ancestor spirits for advice or protection. You may ask it to com-plete one task for you:</p><p><strong>Oracle.</strong> You ask the spirit a question, which it answers to the best of its ability. It will not lie to you, but it may not know the answer.</p><p><strong>Blessing.</strong> The spirit blesses you. For the next 24 hours, you have advantage on one saving throw of your choice.</p><p><strong>Guardianship.</strong> The spirit will guard your home or workspace. It will alert you instantly if there are any intruders, no matter where you are (as long as you are on the same plane), but it cannot fight or otherwise interfere. It will remain for one month before departing.",
Anesthesia,3,Cleric|Druid|Ranger,y,Enchantment,1 action,Touch,t,t,t,,a petal from a lotus flower,1 hour,y,"One target creature you touch makes a Constitution saving throw or is rendered unconscious and insensate. Undead, constructs, and creatures that are immune to being charmed or unconscious are immune to this spell.<p></p>Upon waking up, the creature has disad-vantage on all rolls for 1 minute.",
Animal Animosity,1,Druid|Ranger,,Enchantment,1 action,60 feet,t,t,,,,24 hours,,One creature you can see within range must make a Wisdom saving throw or de-velop a hateful aura beasts can sense. All beasts with an Intelligence of 4 or lower who come within 30 feet of the target will become hostile towards that target and may attempt to attack it.,"When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st."
